REC ID,DATE,DESCRIPTION,DOCUMENT NO,COMPANY NAME,PART NUMBER,UNIT PRICE,QTY,PRIORITY CODE,PRSYPAPPSEC,CURRENT STOCK,SALES ORDERS,BACKORDER,CUSTOMER TOTAL BO QTY,SALES-BACK ORDER,ACTUAL STOCK,ETA,FINAL PO QTY,NUMBER OF DAYS ETA,RELEASE,NOTE
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC085R,16.48,1.0,V-SLOW,0.0,0.0,0.0,1.0,3.0,6.0,0.0,2025-01-29,5.0,-4.0,0.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC080R,22.33,1.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2025-01-29,1.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC102R,26.73,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2025-02-14,2.0,12.0,0.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC085R,16.48,3.0,V-SLOW,0.0,0.0,0.0,2.0,3.0,6.0,0.0,2025-01-29,5.0,-4.0,0.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC087R,11.89,1.0,SPECIAL,0.0,0.0,0.0,1.0,3.0,3.0,0.0,2025-01-29,1.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC087R,11.89,2.0,SPECIAL,0.0,0.0,0.0,2.0,3.0,3.0,0.0,2025-01-29,1.0,-4.0,0.0,done
897939.0,09-10-2024,DIR VIA GREECE - NON EUR1 - BRAKE CALIPER,43164101.0,(GAZ) COMLINE IRELAND LIMITED,CBC058R,17.24,1.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2025-01-29,1.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC007R,14.31,1.0,MED,0.0,0.0,0.0,1.0,1.0,10.0,0.0,2025-01-29,20.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC023R,15.77,1.0,SPECIAL,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2025-01-29,1.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC039R,15.71,2.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2025-01-29,2.0,-4.0,0.0,done
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC023R,15.77,2.0,SPECIAL,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2025-01-29,1.0,-4.0,0.0,done
902081.0,05-11-2024,NON EUR1 CALIPER + CVJOINT + STSUP + WBK,203405.0,(GAZ) COMLINE IRELAND LIMITED,CBC038R,12.6,1.0,SPECIAL,0.0,0.0,0.0,1.0,1.0,7.0,0.0,2025-01-29,1.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC118R,18.61,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2025-02-14,2.0,12.0,0.0,done
904652.0,19-11-2024,NON EUR1 CALIPER + WBK + CVJOINT,206304.0,(GAZ) COMLINE IRELAND LIMITED,CBC028R,18.57,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2025-01-29,2.0,-4.0,0.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC051R,19.2,7.0,SPECIAL,0.0,0.0,0.0,7.0,7.0,15.0,0.0,2025-02-14,9.0,12.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC018R,11.62,2.0,SPECIAL,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2025-02-14,2.0,12.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC026R,16.56,34.0,SLOW,0.0,0.0,0.0,34.0,46.0,60.0,0.0,2025-01-29,31.0,-4.0,0.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC026R,16.56,17.0,SLOW,0.0,0.0,0.0,12.0,46.0,60.0,0.0,2025-01-29,31.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC009R,17.32,35.0,MED,0.0,0.0,0.0,18.0,18.0,32.0,0.0,2025-01-29,94.0,-4.0,0.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC043R,19.07,3.0,SLOW,0.0,2.0,2.0,3.0,3.0,16.0,0.0,2025-01-29,22.0,-4.0,0.0,done
912650.0,16-01-2025,NON EUR1 CALIPER,215105.0,(GAZ) COMLINE IRELAND LIMITED,CBC012R,19.72,21.0,SLOW,0.0,1.0,1.0,19.0,33.0,35.0,0.0,2025-01-29,32.0,-4.0,0.0,done
906952.0,03-12-2024,NON EUR1 CALIPER+WBK+CVJOINT+STSUP,209104.0,(GAZ) COMLINE IRELAND LIMITED,CBC012R,19.72,14.0,SLOW,0.0,1.0,1.0,14.0,33.0,35.0,0.0,2025-01-29,32.0,-4.0,0.0,done
912653.0,16-01-2025,NON EUR1 CALIPER,215106.0,(GAZ) COMLINE IRELAND LIMITED,CBC025R,17.51,8.0,V-SLOW,0.0,1.0,1.0,8.0,8.0,10.0,0.0,2025-01-29,6.0,-4.0,0.0,done
